service_part_id|service_id|part_id|quantity|unit_price|created_at
1|1|1|1|45.99|2025-05-02 02:12:13.183034
2|1|3|2|29.99|2025-05-02 02:12:13.183034
3|2|1|1|45.99|2025-05-02 02:12:13.183034
4|2|2|1|65.50|2025-05-02 02:12:13.183034
5|3|1|2|45.99|2025-05-02 02:12:13.183034
6|3|2|2|65.50|2025-05-02 02:12:13.183034
7|3|3|4|29.99|2025-05-02 02:12:13.183034
8|3|4|1|120.75|2025-05-02 02:12:13.183034
9|4|1|1|45.99|2025-05-02 02:12:13.183034
10|5|3|2|29.99|2025-05-02 02:12:13.183034
11|8|2|1|65.50|2025-05-02 02:12:13.183034
12|8|3|5|29.99|2025-05-02 02:12:13.183034
13|8|4|1|120.75|2025-05-02 02:12:13.183034
14|9|1|1|45.99|2025-05-02 02:12:13.183034
17|12|10|1|140.00|2025-05-02 18:44:29.94607
18|12|1|1|45.99|2025-05-02 18:44:29.94607
