service_id|machine_id|service_type|service_date|completed_date|technician_id|status|notes|created_at|updated_at
1|1|Small Service|2023-06-10|2023-06-10|1|Completed|Regular maintenance performed|2025-05-02 02:12:13.183034|
2|2|Small Service|2023-07-15|2023-07-15|3|Completed|Filter replacement needed next time|2025-05-02 02:12:13.183034|
3|3|Big Service|2023-08-05|2023-08-05|2|Completed|Complete overhaul performed|2025-05-02 02:12:13.183034|
4|4|Small Service|2023-08-20|2023-08-20|4|Completed|Adjusted pressure settings|2025-05-02 02:12:13.183034|
5|5|Small Service|2023-09-01|2023-09-01|5|Completed|Efficiency optimization performed|2025-05-02 02:12:13.183034|
6|1|Small Service|2023-12-10||1|Scheduled|Upcoming routine maintenance|2025-05-02 02:12:13.183034|
7|3|Small Service|2023-11-05||2|Scheduled|Will need oil change|2025-05-02 02:12:13.183034|
8|6|Big Service|2023-05-10|2023-05-10|3|Completed|Annual maintenance completed|2025-05-02 02:12:13.183034|
9|7|Small Service|2023-06-15|2023-06-15|2|Completed|Minor adjustments to VFD settings|2025-05-02 02:12:13.183034|
12|6|small|2025-05-09||3|Scheduled|""|2025-05-02 18:44:29.94607|2025-05-02 18:44:29.94607
